date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2015/06/05,5625960,2252140968,402.00,403.50,398.00,400.50,-2.50,3459
2015/06/08,3259803,1304662091,400.00,403.00,396.00,400.50, 0.00,2435
2015/06/09,3635199,1470168901,402.00,409.00,401.00,401.50,+1.00,2949
2015/06/10,4823210,1957159512,405.00,409.00,403.00,403.50,+2.00,3358
2015/06/11,4208503,1701889444,404.50,407.00,401.00,403.50, 0.00,2802
2015/06/12,7337236,3033755184,406.50,418.00,404.50,416.00,+12.50,5219
2015/06/15,5757976,2380090684,418.00,419.50,407.50,409.00,-7.00,4033
2015/06/16,4689682,1936306484,411.50,416.50,411.00,412.50,+3.50,3265
2015/06/17,9588767,4039908534,415.50,425.00,413.00,424.50,+12.00,6785
2015/06/18,4941599,2089176278,423.00,424.50,420.00,422.50,-2.00,2855
2015/06/22,8138620,3520547840,425.00,436.00,425.00,434.00,+11.50,5655
2015/06/23,6771655,2920020185,437.50,439.50,426.00,426.00,-8.00,4750
2015/06/24,5274114,2229649526,425.00,425.50,420.50,421.50,-4.50,3656
2015/06/25,5948649,2551231719,422.00,432.50,422.00,432.50,+11.00,4314
2015/06/26,6264905,2659848340,428.00,431.00,422.00,425.00,-7.50,4090
2015/06/29,5107878,2169210313,420.00,427.50,420.00,426.00,+1.00,3435
2015/06/30,4476785,1892600270,426.00,426.00,421.00,422.00,-4.00,2739
2015/07/01,4028967,1724941442,424.00,430.00,424.00,427.50,+5.50,3049
2015/07/02,4624848,1959362356,424.50,427.00,421.00,421.00,-6.50,3306
2015/07/03,5004056,2113086410,420.00,426.00,418.50,426.00,+5.00,3201
2015/07/06,3567422,1501428740,421.00,424.50,419.00,419.00,-7.00,2157
2015/07/07,5645688,2360765416,418.00,422.00,413.50,418.00,-1.00,3521
2015/07/08,11558667,4668978293,414.50,415.00,400.00,403.00,-15.00,6870
2015/07/09,13759886,5422143172,390.00,402.00,387.00,400.00,-3.00,8034
2015/07/13,8055909,3184211282,391.00,400.00,391.00,398.00,-2.00,5388
2015/07/14,12372724,4863091261,396.00,400.00,389.00,389.00,-9.00,7486
2015/07/15,9519977,3559737375,375.50,377.50,372.00,373.00,X0.00,6260
2015/07/16,6978722,2579060584,374.00,375.50,366.00,369.00,-4.00,4555
2015/07/17,6857917,2502739159,369.00,369.50,362.50,365.00,-4.00,4362
2015/07/20,16709704,5875356129,365.50,366.50,336.00,346.50,-18.50,9673
2015/07/21,7237429,2545040346,342.50,357.00,342.50,357.00,+10.50,5169
2015/07/22,5982530,2099395590,351.00,354.00,348.00,350.50,-6.50,4025
2015/07/23,8560454,2946057676,350.50,352.50,338.50,342.00,-8.50,5706
2015/07/24,11200775,3715902975,340.00,342.00,326.00,326.00,-16.00,7434
2015/07/27,10714333,3480927680,326.00,333.50,317.50,317.50,-8.50,6323
2015/07/28,8135449,2630633297,320.00,328.00,320.00,321.50,+4.00,5769
2015/07/29,6267002,2031135150,322.00,329.00,321.00,322.50,+1.00,4559
2015/07/30,8072432,2652361468,331.00,333.00,325.00,327.00,+4.50,4975
2015/07/31,7589847,2490450357,327.00,332.00,322.00,332.00,+5.00,4517
2015/08/03,5081343,1519321557,299.00,299.00,299.00,299.00,-33.00,2141
2015/08/04,27240047,7587598684,275.00,287.00,274.00,280.00,-19.00,15092
2015/08/05,16904919,4701891319,287.50,287.50,268.00,270.00,-10.00,10346
2015/08/06,10716139,2925428982,275.00,278.00,268.50,275.00,+5.00,6384
2015/08/07,9814606,2705354186,273.00,282.50,267.00,278.00,+3.00,6073
2015/08/10,10390123,2947431390,280.50,291.50,275.00,288.00,+10.00,6905
2015/08/11,8949276,2590193712,296.00,297.50,284.00,284.00,-4.00,5957
2015/08/12,12062618,3383702586,285.00,286.50,276.00,280.00,-4.00,7161
2015/08/13,8411639,2352302420,280.00,283.00,277.00,279.50,-0.50,5036
2015/08/14,17730700,4779677528,280.00,280.00,265.00,270.00,-9.50,9258
2015/08/17,9130044,2418018336,268.00,268.00,263.00,265.00,-5.00,5203
2015/08/18,5001512,1339737952,267.00,271.50,266.50,267.00,+2.00,3397
2015/08/19,14079700,3712561100,265.50,267.50,261.00,261.00,-6.00,4906
2015/08/20,14039610,3626883003,260.00,263.00,254.00,260.00,-1.00,7972
2015/08/21,12198287,3108392898,254.50,257.00,252.00,254.00,-6.00,6526
2015/08/24,13880555,3268439260,250.00,250.00,229.00,229.00,-25.00,8739
2015/08/25,21673307,5057179071,228.00,240.00,227.00,235.00,+6.00,10177
2015/08/26,16419375,3795023051,233.00,234.00,227.00,229.50,-5.50,7700
2015/08/27,20533889,4758175028,235.50,238.00,228.00,230.00,+0.50,10362
