date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2017/5/26,32313402,3368874308,104,104.5,104,104.5,-0.5,11999
2017/5/31,39270293,4057296679,103.5,104,103,103,-1.5,12724
2017/6/1,27441549,2851027096,103.5,104.5,103,104.5,1.5,10192
2017/6/2,38194518,4008520946,105,105.5,104.5,105.5,1,12695
2017/6/3,9968286,1046425775,105,105.5,104.5,105,-0.5,4168
2017/6/5,29383075,3096213375,105,106,105,105.5,0.5,13838
2017/6/6,21309002,2240531210,105.5,105.5,105,105,-0.5,9742
2017/6/7,27310162,2864892921,105,105.5,104.5,105,0,8026
2017/6/8,15154346,1592538830,105,105.5,104.5,105,0,6308
2017/6/9,34929459,3673085798,105,106,105,105,0,10457
2017/6/12,49986457,5132226114,103,103.5,102,102,-3,17777
2017/6/13,42832418,4351938236,101,102.5,101,102,0,14064
2017/6/14,41192496,4197916645,102.5,103,101,102,0,13619
2017/6/15,22903577,2347374240,102.5,103,102,102.5,0.5,8400
2017/6/16,55593231,5792108383,102.5,105,102.5,105,2.5,17609
2017/6/19,91950276,9967807084,106,110,106,109.5,4.5,36992
2017/6/20,90852821,10298716744,111.5,115,111.5,114.5,5,41169
2017/6/21,69994716,7905844728,113.5,114,112,113,-1.5,30173
2017/6/22,59437938,6729021016,113,114.5,112,112.5,-0.5,25041
2017/6/23,37930603,4287781031,113,114,112.5,112.5,0,16176
2017/6/26,139000262,16469160410,113.5,121,113,120,7.5,52063
2017/6/27,83973152,10148867675,119,122.5,119,121.5,1.5,34481
2017/6/28,99401755,11890167090,120,121,118,118,-3.5,30874
2017/6/29,48517658,5781129194,119.5,120,118.5,119,1,17552
2017/6/30,68372860,7995817370,117.5,118,116,117,-2,25808
2017/7/3,48446980,5650701918,116,118,116,116.5,-0.5,18586
2017/7/4,65450472,7491628803,116.5,117,113,113,-3.5,29114
2017/7/5,58318681,6682942496,113.5,116,113,116,3,22150
2017/7/6,31861057,3661029378,115.5,115.5,114,115.5,-0.5,12757
2017/7/7,32707832,3742883551,114.5,115,114,114.5,-1,15334
2017/7/10,45153445,5205726175,115,116,114.5,115.5,1,17623
2017/7/11,75118399,8852444782,117,118.5,116.5,118.5,3,27361
2017/7/12,91355677,10838373029,118.5,119.5,118,118.5,0,35575
2017/7/13,83078766,9607891618,115.5,116,115,115.5,X0.00,35631
2017/7/14,35813280,4140224113,116,116,115,115.5,0,17216
2017/7/17,35526052,4107831276,116,116,115,115.5,0,13837
2017/7/18,34634354,4017352015,115.5,117,115,117,1.5,13697
2017/7/19,30175151,3540992147,117.5,118,117,117,0,13439
2017/7/20,34665110,4068390610,118,118.5,116.5,116.5,-0.5,12529
2017/7/21,32812474,3783138010,116.5,116.5,114.5,115,-1.5,13248
2017/7/24,28834580,3323847312,114.5,116,114,116,1,10721
2017/7/25,39264315,4590748175,116.5,117.5,116,117,1,14949
2017/7/26,27988227,3266271061,117.5,117.5,115.5,115.5,-1.5,12230
2017/7/27,47888656,5642194335,117,118.5,117,117.5,2,20988
2017/7/28,28597389,3358657243,117.5,118,116.5,117.5,0,13981
2017/7/31,26663998,3122696666,116.5,117.5,116.5,117.5,0,8781
2017/8/1,24368829,2845683426,116.5,117.5,116.5,116.5,-1,10429
2017/8/2,42046572,4980239596,118.5,119.5,117.5,118.5,2,17757
2017/8/3,32872121,3890975139,117.5,119,117.5,119,0.5,14093
2017/8/4,22973121,2733317429,119,119.5,118.5,119.5,0.5,11439
2017/8/7,55573420,6709580820,119.5,122,119.5,121.5,2,22528
2017/8/8,35846503,4341762363,122,122.5,119.5,121,-0.5,15770
2017/8/9,47421728,5632833404,119.5,120.5,117.5,118,-3,19074
2017/8/10,48173952,5605365932,118,118,115,116,-2,22127
2017/8/11,46202486,5342938302,114.5,117,114.5,116.5,0.5,15429
2017/8/14,45566279,5243397196,116.5,116.5,114,114,-2.5,20422
2017/8/15,23934326,2759774879,115.5,116,114.5,115.5,1.5,11050
2017/8/16,28874203,3318357796,115,116,114.5,115,-0.5,9897
2017/8/17,18416645,2128564290,115,116,115,116,1,7752
2017/8/18,28090155,3226726700,114.5,116,114,115.5,-0.5,9286
2017/8/21,18950822,2171904540,114.5,115,114,115,-0.5,9217
2017/8/22,18866616,2178498498,115.5,116,115,115,0,9199
2017/8/23,30660212,3551398011,115.5,116.5,115,115,0,12740
2017/8/24,27856088,3216151208,115,116,115,116,1,10098
2017/8/25,20841797,2417589452,116,116.5,115.5,116,0,8922
2017/8/28,19889160,2302005818,116.5,116.5,115,115.5,-0.5,8899
2017/8/29,17096752,1969472215,115,115.5,115,115.5,0,8010
